,Model,AIC,BIC,RMSE,MAPE
531,"((0, 0, 1), (2, 0, 0, 12), poly1d([1, 0, 0, 1, 0]))",27817.1570150616,27839.710425704863,2234.0990902134117,4.012836102614213
532,"((0, 0, 1), (2, 0, 0, 12), poly1d([1, 0, 0, 1, 1]))",30133.53104776819,30159.84336018533,2179.6828518568086,4.310165115832926
533,"((0, 0, 1), (2, 0, 0, 12), poly1d([1, 0, 1, 0, 0]))",3928.718449830337,3951.2718604736006,139.4775411503605,0.2873399552628294
534,"((0, 0, 1), (2, 0, 0, 12), poly1d([1, 0, 1, 0, 1]))",28708.796822195647,28735.109134612787,2006.6577578879037,3.9933463298808283
535,"((0, 0, 1), (2, 0, 0, 12), poly1d([1, 0, 1, 1, 0]))",28118.287724552145,28144.600036969285,2203.1765760401036,3.9573501314823334
536,"((0, 0, 1), (2, 0, 0, 12), poly1d([1, 0, 1, 1, 1]))",29989.994932119538,30020.066146310557,2163.7412750905687,4.281111384990131
537,"((0, 0, 1), (2, 0, 0, 12), poly1d([1, 1, 0, 0, 0]))",3905.649503505203,3928.202914148467,114.23019796711026,0.2256032622866035
538,"((0, 0, 1), (2, 0, 0, 12), poly1d([1, 1, 0, 0, 1]))",25424.173585922377,25450.485898339517,1802.2173893058311,3.6085504846271035
539,"((0, 0, 1), (2, 0, 0, 12), poly1d([1, 1, 0, 1, 0]))",31443.429309143623,31469.741621560763,2080.1939194027277,3.73443583110315
540,"((0, 0, 1), (2, 0, 0, 12), poly1d([1, 1, 0, 1, 1]))",32983.079994999214,33013.15120919023,2306.233280605654,4.541721621555753
541,"((0, 0, 1), (2, 0, 0, 12), poly1d([1, 1, 1, 0, 0]))",4023.892675039569,4050.20498745671,148.3539765488763,0.30588702611517765
542,"((0, 0, 1), (2, 0, 0, 12), poly1d([1, 1, 1, 0, 1]))",37784.104522381815,37814.17573657283,2269.405551606891,4.480151114767365
543,"((0, 0, 1), (2, 0, 0, 12), poly1d([1, 1, 1, 1, 0]))",55215.450952683736,55245.522166874754,3005.886050519066,5.364791151668948
544,"((0, 0, 1), (2, 0, 0, 12), poly1d([1, 1, 1, 1, 1]))",56787.618047972755,56821.44816393765,1404.6668023011327,2.897264576798354
545,"((0, 0, 1), (2, 0, 1, 12), 'n')",10.0,28.7945088693864,500.61146411164015,1.0
546,"((0, 0, 1), (2, 0, 1, 12), 'c')",3907.33005401708,3929.8834646603436,105.35008838710608,0.19306158833767312
