,Model,AIC,BIC,RMSE,MAPE
752,"((0, 0, 2), (1, 0, 0, 12), 'n')",4269.158625089356,4284.1942321848655,42.342613905167156,0.032703438905401706
753,"((0, 0, 2), (1, 0, 0, 12), 'c')",3547.681118094002,3566.4756269633885,168.72393052798668,0.1289714344491344
754,"((0, 0, 2), (1, 0, 0, 12), 't')",3066.249774523185,3085.0442833925713,105.93759574374498,0.08806645187464827
755,"((0, 0, 2), (1, 0, 0, 12), 'ct')",3009.32084080564,3031.8742514489036,90.33106257035651,0.07582121184965704
756,"((0, 0, 2), (1, 0, 0, 12), poly1d([1, 0, 0]))",3547.681118094002,3566.4756269633885,168.72393052798668,0.1289714344491344
757,"((0, 0, 2), (1, 0, 0, 12), poly1d([1, 0, 1]))",3495.9531276479543,3518.506538291218,161.41207763010743,0.13939618093446463
758,"((0, 0, 2), (1, 0, 0, 12), poly1d([1, 1, 0]))",3009.32084080564,3031.8742514489036,90.33106257035651,0.07582121184965704
759,"((0, 0, 2), (1, 0, 0, 12), poly1d([1, 1, 1]))",3424.718725684417,3451.0310381015584,99.69622391369614,0.07906204434090933
760,"((0, 0, 2), (1, 0, 0, 12), poly1d([1, 0, 0, 0]))",3547.681118094002,3566.4756269633885,168.72393052798668,0.1289714344491344
761,"((0, 0, 2), (1, 0, 0, 12), poly1d([1, 0, 0, 1]))",3590.109423902839,3612.6628345461027,285.0171916763605,0.2559461396977906
762,"((0, 0, 2), (1, 0, 0, 12), poly1d([1, 0, 1, 0]))",3495.9531276479543,3518.506538291218,161.41207763010743,0.13939618093446463
763,"((0, 0, 2), (1, 0, 0, 12), poly1d([1, 0, 1, 1]))",3448.3462071946424,3474.6585196117835,171.49721273052913,0.12829299572313246
764,"((0, 0, 2), (1, 0, 0, 12), poly1d([1, 1, 0, 0]))",3009.32084080564,3031.8742514489036,90.33106257035651,0.07582121184965704
765,"((0, 0, 2), (1, 0, 0, 12), poly1d([1, 1, 0, 1]))",3441.958321625515,3468.270634042656,97.17664470385947,0.07884119581483603
766,"((0, 0, 2), (1, 0, 0, 12), poly1d([1, 1, 1, 0]))",3424.718725684417,3451.0310381015584,99.69622391369614,0.07906204434090933
767,"((0, 0, 2), (1, 0, 0, 12), poly1d([1, 1, 1, 1]))",3443.435958177344,3473.5071723683623,104.57464077792983,0.08142859433238589
768,"((0, 0, 2), (1, 0, 0, 12), poly1d([1, 0, 0, 0, 0]))",3547.681118094002,3566.4756269633885,168.72393052798668,0.1289714344491344
769,"((0, 0, 2), (1, 0, 0, 12), poly1d([1, 0, 0, 0, 1]))",3826.5896187999397,3849.1430294432034,195.43823153460633,0.15911732677378448
770,"((0, 0, 2), (1, 0, 0, 12), poly1d([1, 0, 0, 1, 0]))",3590.109423902839,3612.6628345461027,285.0171916763605,0.2559461396977906
771,"((0, 0, 2), (1, 0, 0, 12), poly1d([1, 0, 0, 1, 1]))",3588.319471935036,3614.631784352177,337.9499253228707,0.3079020979982509
772,"((0, 0, 2), (1, 0, 0, 12), poly1d([1, 0, 1, 0, 0]))",3495.9531276479543,3518.506538291218,161.41207763010743,0.13939618093446463
773,"((0, 0, 2), (1, 0, 0, 12), poly1d([1, 0, 1, 0, 1]))",3523.913189180075,3550.225501597216,235.8160212783015,0.2121099219345468
774,"((0, 0, 2), (1, 0, 0, 12), poly1d([1, 0, 1, 1, 0]))",3448.3462071946424,3474.6585196117835,171.49721273052913,0.12829299572313246
775,"((0, 0, 2), (1, 0, 0, 12), poly1d([1, 0, 1, 1, 1]))",3450.4906465428444,3480.5618607338624,162.50285670640568,0.12056500615967583
776,"((0, 0, 2), (1, 0, 0, 12), poly1d([1, 1, 0, 0, 0]))",3009.32084080564,3031.8742514489036,90.33106257035651,0.07582121184965704
777,"((0, 0, 2), (1, 0, 0, 12), poly1d([1, 1, 0, 0, 1]))",3453.901621147245,3480.213933564386,141.60276385584524,0.12143492412031487
778,"((0, 0, 2), (1, 0, 0, 12), poly1d([1, 1, 0, 1, 0]))",3441.958321625515,3468.270634042656,97.17664470385947,0.07884119581483603
779,"((0, 0, 2), (1, 0, 0, 12), poly1d([1, 1, 0, 1, 1]))",3444.181973970588,3474.253188161606,96.51156421459422,0.0802637612346351
780,"((0, 0, 2), (1, 0, 0, 12), poly1d([1, 1, 1, 0, 0]))",3424.718725684417,3451.0310381015584,99.69622391369614,0.07906204434090933
781,"((0, 0, 2), (1, 0, 0, 12), poly1d([1, 1, 1, 0, 1]))",3445.3712387608684,3475.4424529518865,101.83408523706818,0.08773059773967126
782,"((0, 0, 2), (1, 0, 0, 12), poly1d([1, 1, 1, 1, 0]))",3443.435958177344,3473.5071723683623,104.57464077792983,0.08142859433238589
783,"((0, 0, 2), (1, 0, 0, 12), poly1d([1, 1, 1, 1, 1]))",3445.6270551637845,3479.45717112868,100.83791664736488,0.07971189845378757
784,"((0, 0, 2), (1, 0, 1, 12), 'n')",3345.7957405676734,3364.59024943706,40.00604070264324,0.029033043165838202
785,"((0, 0, 2), (1, 0, 1, 12), 'c')",3150.3296626519623,3172.883073295226,153.7238726777152,0.12138438721565684
786,"((0, 0, 2), (1, 0, 1, 12), 't')",3960.852317708328,3983.4057283515917,576.8140359051089,0.5513942406013361
787,"((0, 0, 2), (1, 0, 1, 12), 'ct')",3177.0986389215636,3203.4109513387048,140.69849902929982,0.1187042348623147
788,"((0, 0, 2), (1, 0, 1, 12), poly1d([1, 0, 0]))",3150.3296626519623,3172.883073295226,153.7238726777152,0.12138438721565684
789,"((0, 0, 2), (1, 0, 1, 12), poly1d([1, 0, 1]))",3455.7430096109492,3482.0553220280904,197.62390561953563,0.17204755253214585
790,"((0, 0, 2), (1, 0, 1, 12), poly1d([1, 1, 0]))",3177.0986389215636,3203.4109513387048,140.69849902929982,0.1187042348623147
791,"((0, 0, 2), (1, 0, 1, 12), poly1d([1, 1, 1]))",3358.116538940064,3388.187753131082,92.03194764956339,0.07631426468611142
792,"((0, 0, 2), (1, 0, 1, 12), poly1d([1, 0, 0, 0]))",3150.3296626519623,3172.883073295226,153.7238726777152,0.12138438721565684
793,"((0, 0, 2), (1, 0, 1, 12), poly1d([1, 0, 0, 1]))",3864.452057484621,3890.764369901762,347.08139717839674,0.3190421617614045
794,"((0, 0, 2), (1, 0, 1, 12), poly1d([1, 0, 1, 0]))",3455.7430096109492,3482.0553220280904,197.62390561953563,0.17204755253214585
795,"((0, 0, 2), (1, 0, 1, 12), poly1d([1, 0, 1, 1]))",3844.687685981439,3874.758900172457,196.74625447390878,0.15263448994904427
796,"((0, 0, 2), (1, 0, 1, 12), poly1d([1, 1, 0, 0]))",3177.0986389215636,3203.4109513387048,140.69849902929982,0.1187042348623147
797,"((0, 0, 2), (1, 0, 1, 12), poly1d([1, 1, 0, 1]))",3853.810592422155,3883.881806613173,116.0615338305199,0.09275173559458161
798,"((0, 0, 2), (1, 0, 1, 12), poly1d([1, 1, 1, 0]))",3358.116538940064,3388.187753131082,92.03194764956339,0.07631426468611142
799,"((0, 0, 2), (1, 0, 1, 12), poly1d([1, 1, 1, 1]))",3854.7445504136704,3888.574666378566,123.21780838000203,0.09576107499145939
800,"((0, 0, 2), (1, 0, 1, 12), poly1d([1, 0, 0, 0, 0]))",3150.3296626519623,3172.883073295226,153.7238726777152,0.12138438721565684
801,"((0, 0, 2), (1, 0, 1, 12), poly1d([1, 0, 0, 0, 1]))",4048.8620644656803,4075.1743768828214,228.4029650451734,0.18084728692756932
802,"((0, 0, 2), (1, 0, 1, 12), poly1d([1, 0, 0, 1, 0]))",3864.452057484621,3890.764369901762,347.08139717839674,0.3190421617614045
803,"((0, 0, 2), (1, 0, 1, 12), poly1d([1, 0, 0, 1, 1]))",3868.0171269009224,3898.0883410919405,352.2204781708411,0.32371013956818534
804,"((0, 0, 2), (1, 0, 1, 12), poly1d([1, 0, 1, 0, 0]))",3455.7430096109492,3482.0553220280904,197.62390561953563,0.17204755253214585
805,"((0, 0, 2), (1, 0, 1, 12), poly1d([1, 0, 1, 0, 1]))",3844.386190035387,3874.457404226405,251.73875769503795,0.22721365425355247
806,"((0, 0, 2), (1, 0, 1, 12), poly1d([1, 0, 1, 1, 0]))",3844.687685981439,3874.758900172457,196.74625447390878,0.15263448994904427
807,"((0, 0, 2), (1, 0, 1, 12), poly1d([1, 0, 1, 1, 1]))",3847.6076024332992,3881.4377183981946,174.27658099790708,0.1331451232894278
808,"((0, 0, 2), (1, 0, 1, 12), poly1d([1, 1, 0, 0, 0]))",3177.0986389215636,3203.4109513387048,140.69849902929982,0.1187042348623147
809,"((0, 0, 2), (1, 0, 1, 12), poly1d([1, 1, 0, 0, 1]))",3848.681141691629,3878.752355882647,158.99608502238388,0.13599591060563482
810,"((0, 0, 2), (1, 0, 1, 12), poly1d([1, 1, 0, 1, 0]))",3853.810592422155,3883.881806613173,116.0615338305199,0.09275173559458161
811,"((0, 0, 2), (1, 0, 1, 12), poly1d([1, 1, 0, 1, 1]))",3856.088119468081,3889.9182354329764,116.08517879181298,0.09452790287416572
812,"((0, 0, 2), (1, 0, 1, 12), poly1d([1, 1, 1, 0, 0]))",3358.116538940064,3388.187753131082,92.03194764956339,0.07631426468611142
813,"((0, 0, 2), (1, 0, 1, 12), poly1d([1, 1, 1, 0, 1]))",3856.437293081322,3890.2674090462174,121.10788181623343,0.10202108599795594
814,"((0, 0, 2), (1, 0, 1, 12), poly1d([1, 1, 1, 1, 0]))",3854.7445504136704,3888.574666378566,123.21780838000203,0.09576107499145939
815,"((0, 0, 2), (1, 0, 1, 12), poly1d([1, 1, 1, 1, 1]))",3857.1474167120873,3894.73643445086,119.3073252974454,0.09403547677117183
816,"((0, 0, 2), (1, 0, 2, 12), 'n')",4092.138695609854,4114.692106253117,969.1019853133281,0.9172785350870104
817,"((0, 0, 2), (1, 0, 2, 12), 'c')",3293.800581728736,3320.112894145877,171.06281423139538,0.1303179571693819
818,"((0, 0, 2), (1, 0, 2, 12), 't')",3671.141638911098,3697.4539513282393,458.3410115913502,0.42847205404995775
819,"((0, 0, 2), (1, 0, 2, 12), 'ct')",3117.7095866128257,3147.7808008038437,129.61973748613258,0.10801231537478895
820,"((0, 0, 2), (1, 0, 2, 12), poly1d([1, 0, 0]))",3293.800581728736,3320.112894145877,171.06281423139538,0.1303179571693819
821,"((0, 0, 2), (1, 0, 2, 12), poly1d([1, 0, 1]))",3446.294706399486,3476.365920590504,195.74551908881503,0.16974555817681852
822,"((0, 0, 2), (1, 0, 2, 12), poly1d([1, 1, 0]))",3117.7095866128257,3147.7808008038437,129.61973748613258,0.10801231537478895
823,"((0, 0, 2), (1, 0, 2, 12), poly1d([1, 1, 1]))",3346.7938148380026,3380.623930802898,92.93471301315085,0.07769023632121594
824,"((0, 0, 2), (1, 0, 2, 12), poly1d([1, 0, 0, 0]))",3293.800581728736,3320.112894145877,171.06281423139538,0.1303179571693819
825,"((0, 0, 2), (1, 0, 2, 12), poly1d([1, 0, 0, 1]))",4447.584986543545,4477.656200734563,369.39139493579665,0.33985623207507026
826,"((0, 0, 2), (1, 0, 2, 12), poly1d([1, 0, 1, 0]))",3446.294706399486,3476.365920590504,195.74551908881503,0.16974555817681852
827,"((0, 0, 2), (1, 0, 2, 12), poly1d([1, 0, 1, 1]))",4802.810500494728,4836.640616459624,233.08227328653086,0.182494000013127
828,"((0, 0, 2), (1, 0, 2, 12), poly1d([1, 1, 0, 0]))",3117.7095866128257,3147.7808008038437,129.61973748613258,0.10801231537478895
829,"((0, 0, 2), (1, 0, 2, 12), poly1d([1, 1, 0, 1]))",4856.557226227358,4890.3873421922535,164.03708543324984,0.11887766364041456
830,"((0, 0, 2), (1, 0, 2, 12), poly1d([1, 1, 1, 0]))",3346.7938148380026,3380.623930802898,92.93471301315085,0.07769023632121594
831,"((0, 0, 2), (1, 0, 2, 12), poly1d([1, 1, 1, 1]))",4856.485184160534,4894.074201899307,172.94308468768114,0.12476859499321433
832,"((0, 0, 2), (1, 0, 2, 12), poly1d([1, 0, 0, 0, 0]))",3293.800581728736,3320.112894145877,171.06281423139538,0.1303179571693819
833,"((0, 0, 2), (1, 0, 2, 12), poly1d([1, 0, 0, 0, 1]))",4465.5396585539565,4495.610872744975,305.27521184221695,0.22095283227755608
834,"((0, 0, 2), (1, 0, 2, 12), poly1d([1, 0, 0, 1, 0]))",4447.584986543545,4477.656200734563,369.39139493579665,0.33985623207507026
